Protocol,Experiment,Run,Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,chunk,esp32_chunked_1460_run05.csv,36913,199.8190248125,0.1074362443,0.1073720000,0.0019365761,0.1178140000,0.0948968000,0.0001374024,94.6941137435,94.6374900404,1.7068600464,103.8408632591,83.6420943712,475.4003400613,8.5690843328,0.1280884297
wifi,byte,esp32_byte_by_byte_run23.csv,114192,450.8646612052,0.1121398456,0.1118760000,0.0032097464,0.1230970000,0.0949637000,0.0001515553,98.8397753029,98.6072269660,2.8290072568,108.4971954478,83.7010587140,496.2131322955,14.2026886230,0.1353343899
wifi,byte,esp32_byte_by_byte_run22.csv,116270,390.4609125997,0.1119578771,0.1119100000,0.0036644494,0.1261820000,0.0949264000,0.0001857656,98.6793918336,98.6371938966,3.2297735974,111.2162537106,83.6681832284,495.4079464943,16.2146875433,0.1660759625
wifi,byte,esp32_byte_by_byte_run08.csv,115567,407.7638548978,0.1117026625,0.1118770000,0.0032344205,0.1256490000,0.0996246000,0.0001605413,98.4544506746,98.6081083463,2.8507545765,110.7464780043,87.8090842106,494.2786566233,14.3118684102,0.1438968666
wifi,byte,esp32_byte_by_byte_run20.csv,119061,464.5369663716,0.1129137613,0.1125400000,0.0033338035,0.1265590000,0.0949107000,0.0001550654,99.5218893664,99.1924634932,2.9383487573,111.5485340883,83.6543455575,499.6376034153,14.7516243956,0.1375137522
wifi,byte,esp32_byte_by_byte_run21.csv,115058,541.0242904611,0.1121818860,0.1118710000,0.0029397840,0.1254790000,0.0967624000,0.0001268567,98.8768288788,98.6028200644,2.5910677023,110.5966433512,85.2863974814,496.3991552897,13.0081418804,0.1133033766
wifi,byte,esp32_byte_by_byte_run09.csv,114979,275.3689488116,0.1121092877,0.1124850000,0.0035963291,0.1226600000,0.0999312000,0.0002169947,98.8128421867,99.1439875761,3.1697336647,108.1120322515,88.0793154143,496.0779178442,15.9132643256,0.1936862096
wifi,byte,esp32_byte_by_byte_run25.csv,114819,342.4651883188,0.1119268117,0.1119130000,0.0038446387,0.1230700000,0.0948246000,0.0002080372,98.6520113767,98.6398380376,3.3885888531,108.4733981794,83.5784587126,495.2704862231,17.0120003179,0.1860042023
wifi,byte,esp32_byte_by_byte_run19.csv,118054,464.7517103737,0.1125145027,0.1121900000,0.0032242903,0.1230770000,0.0949405000,0.0001499607,99.1699906732,98.8839803840,2.8418259823,108.4795678416,83.6806106908,497.8709386057,14.2670434832,0.1334696960
wifi,byte,esp32_byte_by_byte_run18.csv,119615,377.6438792382,0.1126372053,0.1123320000,0.0039345395,0.1236790000,0.0948661000,0.0002027609,99.2781383444,99.0091363883,3.4678256262,109.0101587895,83.6150359956,498.4138809035,17.4097989497,0.1801519397
