timestamp,V_shunt,experiment_start
2026-03-24T16:36:08.605809,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.609222,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.613036,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.616891,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.621238,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.624439,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.628380,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.632229,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.636624,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.640841,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.644065,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.647971,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.651779,6.51578000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.662190,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.666784,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.671036,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.674358,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.678254,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.682152,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.686593,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.694107,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.697869,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.701755,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.705889,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.709037,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.712904,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.720108,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.723662,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.727505,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.731712,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.735826,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.739013,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.742761,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.746752,6.51466000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.754080,6.51534000E-02,2026-03-24T16:36:06.296566
2026-03-24T16:36:08.757885,6.51534000E-02,2026-03-24T16:36:06.296566
