run,19
session,20260422_182825


# EVENTS
1,2026-04-22T18:34:31.843,2026-04-22T18:34:31.850,2026-04-22T18:34:31.878,35.000,True
2,2026-04-22T18:34:33.034,2026-04-22T18:34:33.042,2026-04-22T18:34:33.075,41.000,True
4,2026-04-22T18:34:34.229,2026-04-22T18:34:34.237,2026-04-22T18:34:34.265,36.000,True
8,2026-04-22T18:34:35.420,2026-04-22T18:34:35.431,2026-04-22T18:34:35.469,49.000,True
16,2026-04-22T18:34:36.628,2026-04-22T18:34:36.644,2026-04-22T18:34:36.691,63.000,True
32,2026-04-22T18:34:37.847,2026-04-22T18:34:37.871,2026-04-22T18:34:37.940,93.000,True
64,2026-04-22T18:34:39.093,2026-04-22T18:34:39.135,2026-04-22T18:34:39.254,161.000,True
128,2026-04-22T18:34:40.405,2026-04-22T18:34:40.481,2026-04-22T18:34:40.693,288.000,True
220,2026-04-22T18:34:41.852,2026-04-22T18:34:41.978,2026-04-22T18:34:42.328,476.000,True

# RESULTS
Index, Phase, Mean_V, Std_V, Count
2026-04-22 18:34:30.999000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.002000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.006000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.009000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.013000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.016000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.019000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.022000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.029000,0.035531100,baseline,0.031318335,idle
2026-04-22 18:34:31.039000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.042000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.046000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.050000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.053000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.056000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.060000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.063000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.066000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.069000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.072000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.075000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.079000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.085000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.088000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.096000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.100000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.103000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.106000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.110000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.113000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.116000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.120000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.123000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.128000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.132000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.135000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.138000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.144000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.147000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.151000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.154000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.157000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.161000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.164000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.167000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.171000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.174000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.177000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.180000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.183000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.187000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.193000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.202000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.206000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.209000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.213000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.216000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.219000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.224000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.227000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.231000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.234000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.238000,0.035537100,baseline,0.031323623,idle
2026-04-22 18:34:31.241000,0.035537100,baseline,0.031323623,idle
