Protocol,Experiment,Run,Unique_Samples_N,Samples_N_eff,Vshunt_Mean_V,Vshunt_Median_V,Vshunt_Std_V,Vshunt_Max_V,Vshunt_Min_V,Vshunt_Combined_Uncert_V,Current_Mean_mA,Current_Median_mA,Current_Std_mA,Current_Max_mA,Current_Min_mA,Power_Mean_mW,Power_Std_mW,Power_Rel_Uncert_pct
wifi,all,esp32_full_payload_run23_attempt01.csv,264,35.653503,0.0994062402,0.0951314500,0.0056483205,0.1126540000,0.0943724000,0.0009460005,87.6165938538,83.8488792885,4.9783167338,99.2929044958,83.1798677957,439.8685063477,24.9930367012,0.9601809773
wifi,all,esp32_full_payload_run24_attempt02.csv,269,36.829633,0.0992726320,0.0951963000,0.0055289046,0.1113600000,0.0944328000,0.0009110985,87.4988342743,83.9060367819,4.8730659314,98.1523987693,83.2331031480,439.2773086299,24.4646377850,0.9266173455
wifi,all,esp32_full_payload_run25_attempt04.csv,270,37.894296,0.0993936007,0.0950848000,0.0056064619,0.1129480000,0.0945489000,0.0009108082,87.6054537299,83.8077629113,4.9414234405,99.5520302173,83.3354313666,439.8125787036,24.8078183868,0.9252218761
wifi,all,esp32_full_payload_run26_attempt01.csv,268,36.485158,0.0996212604,0.0951333500,0.0055250971,0.1093470000,0.0945828000,0.0009147589,87.8061084436,83.8505539106,4.8697101483,96.3781808191,83.3653101488,440.8199414112,24.4477904818,0.9270755811
wifi,all,esp32_full_payload_run27_attempt01.csv,271,29.885595,0.0993155524,0.0946269000,0.0056342619,0.1125570000,0.0943434000,0.0010306841,87.5366634816,83.4041790070,4.9659257747,99.2074106353,83.1543077756,439.4672255870,24.9308293906,1.0456110256
wifi,all,esp32_full_payload_run28_attempt01.csv,272,29.457073,0.0993740912,0.0951506500,0.0055148987,0.1080260000,0.0944263000,0.0010161617,87.5882583900,83.8658017846,4.8607214620,95.2138778325,83.2273741780,439.7262515808,24.4026638702,1.0305021077
wifi,all,esp32_full_payload_run29_attempt02.csv,273,33.207246,0.0991640183,0.0947079000,0.0055349073,0.1099260000,0.0945069000,0.0009605419,87.4031043703,83.4755707874,4.8783566590,96.8884998421,83.2984134064,438.7967082318,24.4911992425,0.9770203520
wifi,all,esp32_full_payload_run30_attempt02.csv,257,43.842529,0.0998110070,0.0954964000,0.0058239543,0.1168100000,0.0944742000,0.0008796241,87.9733472642,84.1705389214,5.1331168369,102.9559197967,83.2695922802,441.6595436713,25.7701918853,0.8904970632
BLE,chunk,ble_nrf52_chunked_244_run01.csv,332,54.292140,0.0095926608,0.0097283650,0.0020688732,0.0113533000,0.0035900100,0.0002808187,8.4567008178,8.5763078011,1.8234634945,10.0084930196,3.1660844403,42.4558430512,9.1544778042,2.9295592999
BLE,chunk,ble_nrf52_chunked_244_run02.csv,333,51.918723,0.0096259785,0.0098384100,0.0020163206,0.0111785000,0.0036089700,0.0002798715,8.4860664124,8.6732992638,1.7771447042,9.8544277947,3.1827954052,42.6032694652,8.9219399229,2.9096125225
BLE,chunk,ble_nrf52_chunked_244_run03.csv,332,65.794961,0.0096197795,0.0097768250,0.0020631534,0.0111630000,0.0036131400,0.0002543953,8.4806027285,8.6190194762,1.8184221865,9.8407664046,3.1864707598,42.5758397015,9.1291685276,2.6469932801
BLE,chunk,ble_nrf52_chunked_244_run04.csv,333,50.803285,0.0096301841,0.0098599900,0.0020084899,0.0111553000,0.0036244700,0.0002818279,8.4897731049,8.6923194443,1.7702428493,9.8339797786,3.1964567953,42.6218784667,8.8872899955,2.9286358723
BLE,chunk,ble_nrf52_chunked_244_run05.csv,330,67.290650,0.0096220331,0.0097568600,0.0020489249,0.0111684000,0.0036075400,0.0002498189,8.4825889825,8.6014227244,1.8058814713,9.8455258567,3.1815350318,42.5858114495,9.0662093843,2.5988805669
BLE,chunk,ble_nrf52_chunked_244_run06.csv,331,44.283727,0.0096383742,0.0098480700,0.0019836219,0.0111630000,0.0036069400,0.0002981197,8.4969916822,8.6818133946,1.7483246769,9.8407664046,3.1810062038,42.6581184602,8.7772524632,3.0949920825
BLE,chunk,ble_nrf52_chunked_244_run07.csv,333,69.454733,0.0096306177,0.0097693800,0.0020494151,0.0111833000,0.0036055100,0.0002459564,8.4901553010,8.6124576020,1.8063134506,9.8586584187,3.1797458304,42.6237972355,9.0683780843,2.5565215678
BLE,chunk,ble_nrf52_chunked_244_run08.csv,332,43.571693,0.0096349513,0.0097566200,0.0019812246,0.0111578000,0.0036169600,0.0003001820,8.4939748029,8.6012111932,1.7462117918,9.8361832286,3.1898376314,42.6429725830,8.7666449793,3.1174707717
BLE,chunk,ble_nrf52_chunked_244_run09.csv,330,70.078873,0.0096127517,0.0098258300,0.0020818555,0.0111591000,0.0036100400,0.0002487335,8.4744085742,8.6622115033,1.8349058035,9.8373290226,3.1837384818,42.5447426995,9.2119225317,2.5901083284
BLE,chunk,ble_nrf52_chunked_244_run10.csv,330,42.124426,0.0096397535,0.0098661300,0.0019853313,0.0113131000,0.0036043200,0.0003059265,8.4982073834,8.6977311175,1.7498312692,9.9730615434,3.1786969882,42.6642217412,8.7848161277,3.1754501271
BLE,chunk,ble_nrf52_chunked_244_run11.csv,332,70.374984,0.0096102925,0.0098098500,0.0020842626,0.0111593000,0.0036111200,0.0002484968,8.4722410870,8.6481270508,1.8370274039,9.8375052986,3.1846903722,42.5338610923,9.2225737697,2.5883092491
BLE,chunk,ble_nrf52_chunked_244_run12.csv,331,42.313850,0.0096406920,0.0097829700,0.0019764550,0.0111573000,0.0036070600,0.0003038768,8.4990345666,8.6244355563,1.7420079378,9.8357425386,3.1811119694,42.6683745141,8.7455400391,3.1539023245
